ExCeL Exhibition Centre	/m/04xdm0	2012 Summer Olympics	Boxing at the 2012 Summer Olympics – Women's lightweight,Judo at the 2012 Summer Olympics – Women's +78 kg,Boxing at the 2012 Summer Olympics – Men's lightweight,Taekwondo at the 2012 Summer Olympics – Men's 68 kg,Boxing at the 2012 Summer Olympics – Men's flyweight,Judo at the 2012 Summer Olympics – Men's 60 kg,Wrestling at the 2012 Summer Olympics – Women's freestyle 48 kg,Judo at the 2012 Summer Olympics – Men's 73 kg,Wrestling at the 2012 Summer Olympics – Men's freestyle 96 kg,Table Tennis at the 2012 Summer Olympics- Women's Team,Taekwondo at the 2012 Summer Olympics – Women's 57 kg,Taekwondo at the 2012 Summer Olympics – Men's 58 kg,Boxing at the 2012 Summer Olympics – Women's flyweight,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 120 kg,Weightlifting at the 2012 Summer Olympics – Men's 56 kg,Judo at the 2012 Summer Olympics – Men's 90 kg,Weightlifting at the 2012 Summer Olympics – Men's 77 kg,Wrestling at the 2012 Summer Olympics – Women's freestyle 63 kg,Judo at the 2012 Summer Olympics – Men's +100 kg,Weightlifting at the 2012 Summer Olympics – Women's 58 kg,Taekwondo at the 2012 Summer Olympics – Women's 67 kg,Wrestling at the 2012 Summer Olympics – Men's freestyle 60 kg,Boxing at the 2012 Summer Olympics – Men's super heavyweight,Table Tennis at the 2012 Summer Olympics- Men's Team,Weightlifting at the 2012 Summer Olympics – Men's 105 kg,Boxing at the 2012 Summer Olympics – Men's heavyweight,Table tennis at the 2012 Summer Olympics – Men's singles,Boxing at the 2012 Summer Olympics – Men's light heavyweight,Table tennis at the 2012 Summer Olympics – Women's singles,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 60 kg,Fencing at the 2012 Summer Olympics - Men's team sabre,Weightlifting at the 2012 Summer Olympics – Women's 69 kg,Wrestling at the 2012 Summer Olympics – Men's freestyle 84 kg,Boxing at the 2012 Summer Olympics – Men's middleweight,Wrestling at the 2012 Summer Olympics – Women's freestyle 72 kg,Taekwondo at the 2012 Summer Olympics – Men's 80 kg,Boxing at the 2012 Summer Olympics – Men's bantamweight,Judo at the 2012 Summer Olympics – Women's 57 kg,Fencing at the 2012 Summer Olympics - Women's Foil, Individual,Weightlifting at the 2012 Summer Olympics – Men's +105 kg,Taekwondo at the 2012 Summer Olympics – Women's +67 kg,Judo at the 2012 Summer Olympics – Women's 70 kg,Weightlifting at the 2012 Summer Olympics – Men's 85 kg,Fencing at the 2012 Summer Olympics - Women's Épée, Individual,Wrestling at the 2012 Summer Olympics – Men's freestyle 74 kg,Fencing at the 2012 Summer Olympics - Men's Foil, Individual,Taekwondo at the 2012 Summer Olympics – Men's +80 kg,Boxing at the 2012 Summer Olympics – Men's light flyweight,Judo at the 2012 Summer Olympics – Men's 81 kg,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 66 kg,Fencing at the 2012 Summer Olympics - Men's Épée, Individual,Weightlifting at the 2012 Summer Olympics – Women's 48 kg,Boxing at the 2012 Summer Olympics – Women's middleweight,Fencing at the 2012 Summer Olympics - Men's team foil,Weightlifting at the 2012 Summer Olympics – Women's 53 kg,Judo at the 2012 Summer Olympics – Men's 100 kg,Weightlifting at the 2012 Summer Olympics – Men's 94 kg,Fencing at the 2012 Summer Olympics - Women's team épée,Judo at the 2012 Summer Olympics – Women's 52 kg,Wrestling at the 2012 Summer Olympics – Men's freestyle 55 kg,Weightlifting at the 2012 Summer Olympics – Men's 62 kg,Wrestling at the 2012 Summer Olympics – Women's freestyle 55 kg,Boxing at the 2012 Summer Olympics – Men's welterweight,Weightlifting at the 2012 Summer Olympics – Men's 69 kg,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 84 kg,Fencing at the 2012 Summer Olympics - Women's team foil,Wrestling at the 2012 Summer Olympics – Men's freestyle 120 kg,Taekwondo at the 2012 Summer Olympics – Women's 49 kg,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 74 kg,Judo at the 2012 Summer Olympics – Women's 78 kg,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 96 kg,Weightlifting at the 2012 Summer Olympics – Women's 63 kg,Wrestling at the 2012 Summer Olympics – Men's Greco-Roman 55 kg,Weightlifting at the 2012 Summer Olympics – Women's +75 kg,Judo at the 2012 Summer Olympics – Men's 66 kg,Judo at the 2012 Summer Olympics – Women's 48 kg,Judo at the 2012 Summer Olympics – Women's 63 kg,Fencing at the 2012 Summer Olympics - Men's sabre, Individual,Wrestling at the 2012 Summer Olympics – Men's freestyle 66 kg,Fencing at the 2012 Summer Olympics - Women's sabre,Boxing at the 2012 Summer Olympics – Men's light welterweight,Weightlifting at the 2012 Summer Olympics – Women's 75 kg	
Workers Indoor Arena	/m/0d7r2s			
Herb Brooks Arena	/m/063r3j	1980 Winter Olympics		
Dongdaemun Stadium	/m/04d_30			
Water Polo Arena	/m/0j7k47x		Water polo at the 2012 Summer Olympics – Women's tournament,Water polo at the 2012 Summer Olympics – Men's tournament	
The Big Hat	/m/085rm3	1998 Winter Olympics		
Nippon Budokan	/m/01n275			
Sydney International Archery Park	/m/04f990l	2000 Summer Olympics		
Dinamo Stadium	/m/09sqb2			
Greenwich Park	/m/01x6t2	2012 Summer Olympics	Equestrian at the 2012 Summer Olympics - Individual dressage,Equestrian at the 2012 Summer Olympics - Team eventing,Modern pentathlon at the 2012 Summer Olympics – Women's,Equestrian at the 2012 Summer Olympics - Team dressage,Equestrian at the 2012 Summer Olympics - Individual jumping,Equestrian at the 2012 Summer Olympics - Team jumping,Equestrian at the 2012 Summer Olympics - Individual eventing,Modern pentathlon at the 2012 Summer Olympics – Men's	
Ostermalm Athletic Grounds	/m/04fm6r0			Baseball at the 1912 Summer Olympics
Beijing Shooting Range Hall	/m/0fmgns	2008 Summer Olympics	Shooting at the 2008 Summer Olympics - Women's 25 metre pistol,Shooting at the 2008 Summer Olympics - Men's 10 metre air rifle,Shooting at the 2008 Summer Olympics - Men's Trap,Shooting at the 2008 Summer Olympics - Men's 50 metre pistol,Shooting at the 2008 Summer Olympics - Men's Double Trap,Shooting at the 2008 Summer Olympics - Men's 50 metre rifle, prone,Shooting at the 2008 Summer Olympics - Women's 10 metre air rifle,Shooting at the 2008 Summer Olympics - Women's Trap,Shooting at the 2008 Summer Olympics - Men's 10 metre air pistol,Shooting at the 2008 Summer Olympics - Women's 10 metre air pistol,Shooting at the 2008 Summer Olympics - Women's 50 metre rifle, three positions,Shooting at the 2008 Summer Olympics - Women's Skeet	
Sydney Convention and Exhibition Centre	/m/0b8tnt	2000 Summer Olympics		
Chichibunomiya Rugby Stadium	/m/04wbhz			
Long Beach Convention and Entertainment Center	/m/0738l2			
Atatürk Olimpiyat Stadyumu	/m/037m_z			
Forest Park	/m/030639		Swimming at the 1904 Summer Olympics - Men's 440 yard breaststroke	
Olympic Green Tennis Center, Beijing	/m/0dcjcb		Tennis at the 2008 Summer Olympics - Women's Singles,Tennis at the 2008 Summer Olympics - Women's Doubles,Tennis at the 2008 Summer Olympics - Men's Singles,Tennis at the 2008 Summer Olympics - Men's Doubles	
Tokyo Dome City	/m/08bxnl			
Vancouver Olympic and Paralympic Village	/m/02pws28	2010 Winter Olympics		
Georgia Dome	/m/038bv6	1996 Summer Olympics		
Olympic Hockey Centre	/m/06wrfy		Field hockey at the 2012 Summer Olympics – Men's tournament,Field hockey at the 2012 Summer Olympics – Women's tournament	
Fencing Hall of National Convention Center	/m/04dst35	2008 Summer Olympics	Fencing at the 2008 Summer Olympics - Men's Épée, Individual,Fencing at the 2008 Summer Olympics -Women's Foil, Individual,Fencing at the 2008 Summer Olympics - Men's Sabre, Individual,Fencing at the 2008 Summer Olympics - Women's sabre,Fencing at the 2008 Summer Olympics - Men's Foil, Individual,Fencing at the 2008 Summer Olympics - Men's team épée,Fencing at the 2008 Summer Olympics - Women's Épée, Individual,Fencing at the 2008 Summer Olympics - Women's team foil,Fencing at the 2008 Summer Olympics - Women's team sabre	
Jamsil Students' Gymnasium	/m/027f1qw	1988 Summer Olympics	Volleyball at the 1988 Summer Olympics - Men's volleyball	
Olympic Stadium	/m/066hn7	1964 Summer Olympics		
Doug Mitchell Thunderbird Sports Centre	/m/0bfnrv	2010 Winter Olympics	Ice hockey at the 2010 Winter Olympics – Women's tournament,Ice hockey at the 2010 Winter Olympics – Men's tournament	
Helsinki Olympic Stadium	/m/04fwml	1952 Summer Olympics		
Omiya Park Soccer Stadium	/m/0c707b			
NSW Tennis Centre	/m/0gjnry	2000 Summer Olympics		
Weingart Stadium	/m/073802			
Nagai Stadium	/m/0980mz			
St James' Park	/m/02_d8c	2012 Summer Olympics	Football at the 2012 Summer Olympics – Men's tournament,Football at the 2012 Summer Olympics – Women's tournament	
Main Media Center	/m/06vyy_k	2010 Winter Olympics		
Lake Casitas	/m/0cqxmc			
