Short Track Speed Skating at the 2002 Winter Olympics - Women's 3000 m relay	/m/06mxkqv			/m/06mxkqs,/m/06vxq33,/m/06vx2cl	
Gymnastics at the 1992 Summer Olympics – Women's Vault	/m/076w436	Women's Vault		/m/07z0jz8,/m/07yy50_,/m/07ylf34	1992 Summer Olympics
Shooting at the 1972 Summer Olympics - Men's Skeet	/m/07dtnkz	Olympic skeet		/m/07dtnm7,/m/07j074g,/m/07j06ts	1972 Summer Olympics
Boxing at the 1972 Summer Olympics - Heavyweight	/m/07j070k	Men's Boxing, Heavyweight +81		/m/07n7300,/m/07n6rpl,/m/07n732j,/m/07j070w	1972 Summer Olympics
Shooting at the 2004 Summer Olympics - Men's 10 metre air pistol	/m/07h10h	Men's 10m air pistol		/m/0799zmd,/m/077029p,/m/077029y	2004 Summer Olympics
Modern Pentathlon at the 1984 Summer Olympics - Men's Individual	/m/07j4smt	Men's Modern pentathlon		/m/07j5pv4,/m/07j4sn4,/m/07txgyy	1984 Summer Olympics
Athletics at the 2000 Summer Olympics – Women's shot put	/m/09gddfx	Women's Shot put		/m/07ft9ct,/m/07bt_d8,/m/079rqtd	2000 Summer Olympics
Speed skating at the 2010 Winter Olympics – Women's 500 metres	/m/09gl4cr	Women's 500 m	Richmond Olympic Oval	/m/0b44k2z,/m/0b44k2g,/m/0b44k2q	2010 Winter Olympics
Rowing at the 1984 Summer Olympics – Men's coxed fours	/m/09tmzny	Men's Four with coxswain		/m/09tmznl	1984 Summer Olympics
Alpine Skiing at the 1994 Winter Olympics - Women's Giant Slalom	/m/07t63j3	Women's Giant Slalom		/m/07t63jc,/m/07t79pr,/m/07t7gpj	1994 Winter Olympics
Athletics at the 1968 Summer Olympics - Women's Long Jump	/m/07jxm8r	Women's Long jump		/m/07jxm8_,/m/07mmmjp,/m/07nd_8_	1968 Summer Olympics
Alpine Skiing at the 1972 Winter Olympics - Men's Giant Slalom	/m/07tlc9k	Alpine skiing - Men's giant slalom		/m/07tlc9t,/m/07tljdt,/m/07tljdk	1972 Winter Olympics
Wrestling at the 1960 Summer Olympics - Men's Freestyle Heavyweight	/m/07mslxg	Men's Freestyle Wrestling, Heavyweight +87		/m/07nnp3p,/m/07mslxp,/m/07tzg43	1960 Summer Olympics
Cross Country Skiing at the 1998 Winter Olympics - Women's 30km Freestyle	/m/07sgn4j	Women's 30km Cross-country Freestyle		/m/07sgn76,/m/07t5dcw,/m/07sgmqg	1998 Winter Olympics
Swimming at the 1948 Summer Olympics - Men's 100 metre backstroke	/m/080h08h	Men's 100m backstroke		/m/07n8kv4,/m/07mvkxs,/m/07mvzxm	1948 Summer Olympics
Biathlon at the 2006 Winter Olympics – Women's mass start	/m/07s4h5q	Women's 12.5 km Mass Start		/m/07rcyg7,/m/065xw1h,/m/07rcyfn	2006 Winter Olympics
Gymnastics at the 1976 Summer Olympics – Women's artistic team all-around	/m/07khpq2				
Ski Jumping at the 2002 Winter Olympics - Men's K120	/m/07rqp24			/m/06zcvgt	
Equestrian at the 1924 Summer Olympics – Team jumping	/m/07k5_d3				
Gymnastics at the 1968 Summer Olympics - Men's Floor Exercises	/m/07mmlpd	Men's Floor exercises		/m/07mmlq7,/m/07mmlqs,/m/07mmlpn	1968 Summer Olympics
Wrestling at the 1960 Summer Olympics - Freestyle Welterweight	/m/07n7q4y	Men's Freestyle Wrestling, 67-73kg		/m/07nnp2y,/m/07tzg2w,/m/07n7q54	1960 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay	/m/02wcznq	Women's 4x100m freestyle relay		/m/0b7bx99,/m/05t112l,/m/0b7bx9s	2000 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's 10000 metres	/m/027fxk1	Men's Athletics, 10000m		/m/07nnm5n,/m/07nnm5x,/m/07n9zq4	1912 Summer Olympics
Diving at the 1984 Summer Olympics - Men's 3 metre springboard	/m/027m88j	Men's 3 metre springboard		/m/07gz3qj,/m/04dq0m_,/m/04dq0ms	1984 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's Discus Throw	/m/02qlz4g	Women's Discus throw		/m/07n7b70,/m/07n7b78,/m/07mrmjh	1956 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's 10000 metres	/m/02x2yxf	Men's Athletics, 10000m		/m/07njw1s,/m/07nv76w,/m/07nv7cm	1920 Summer Olympics
Diving at the 2004 Summer Olympics - Women's 3 metre springboard	/m/0266m0x	Women's 3 metre springboard		/m/0799zgq,/m/04dp_43,/m/0799zgd	2004 Summer Olympics
Athletics at the 1956 Summer Olympics - Men's 200 metres	/m/02vptv7	Men's Athletics, 200m		/m/07n93dz,/m/07n93f6,/m/07n93fg	1956 Summer Olympics
Fencing at the 1904 Summer Olympics - Men's singlestick	/m/02753_7	Single Sticks		/m/07npjv0,/m/07npj8t,/m/07nvdnt	1904 Summer Olympics
Diving at the 1924 Summer Olympics - Men's plain high diving	/m/027cly8	Men's plain high diving		/m/07nv7wj,/m/07nv7rw,/m/07tyl2v	1924 Summer Olympics
Gymnastics at the 2004 Summer Olympics - Women's Uneven Bars	/m/02rgtx8	Women's Uneven bars		/m/07b0sw7,/m/07705hs,/m/07705hj	2004 Summer Olympics
Diving at the 1984 Summer Olympics - Women's 10 metre platform	/m/027m9d8	Women's 10 metre platform		/m/04dq0nw,/m/07gz3r3,/m/07cy9gq	1984 Summer Olympics
Cycling at the 1952 Summer Olympics - Men's sprint	/m/02rc881	Men's Track cycling, Sprint individual		/m/07ksv_b,/m/07ksw07,/m/07ksv_5,/m/07ksw14,/m/07ksvyz,/m/07ksw1w,/m/07ksw1q,/m/07ksvz7,/m/07ksvzz,/m/07ksvzs,/m/07ksw0v,/m/07ksw19,/m/07ksw00,/m/07ksvzf,/m/07ksv_j,/m/07ksw0q,/m/07ksv_p,/m/07ksw0l,/m/07ksw1g,/m/07ksvzm,/m/07ksw1_,/m/07ksw23,/m/07ksw0_,/m/07ksw2d,/m/07ksw1l,/m/07ksv_v,/m/07ksw28	1952 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Women's 58 kg	/m/027p_gk	Women's Weightlifting, 58kg		/m/078n_mh,/m/0799ztw,/m/07963m_	2004 Summer Olympics
Canoeing at the 2012 Summer Olympics – Men's slalom C-1	/m/0hzq1m4	Men's Slalom C-1 (canoe single)	Broxbourne White Water Canoe Centre	/m/0lffpwk,/m/0l24lkv,/m/0kfgh9c	2012 Summer Olympics
Swimming at the 2012 Summer Olympics – Men's 100 metre butterfly	/m/0hzp26f	Men's 100m butterfly	Aquatics Centre	/m/0kgyyk6,/m/0kgyykh,/m/0kgyyjy	2012 Summer Olympics
